Client_ID,Round_0,Round_1,Round_2,Round_3,Round_4,Round_5,Round_6,Round_7,Round_8,Round_9,Round_10,Round_11,Round_12,Round_13,Round_14,Round_15,Round_16,Round_17,Round_18,Round_19,Round_20,Round_21,Round_22,Round_23,Round_24,Round_25,Round_26,Round_27,Round_28,Round_29,Round_30,Round_31,Round_32,Round_33,Round_34,Round_35,Round_36,Round_37,Round_38,Round_39,Round_40,Round_41,Round_42,Round_43,Round_44,Round_45,Round_46,Round_47,Round_48,Round_49,Round_50,Round_51,Round_52,Round_53,Round_54,Round_55,Round_56,Round_57,Round_58,Round_59,Round_60,Round_61,Round_62,Round_63,Round_64,Round_65,Round_66,Round_67,Round_68,Round_69,Round_70,Round_71,Round_72,Round_73,Round_74,Round_75,Round_76,Round_77,Round_78,Round_79,Round_80,Round_81,Round_82,Round_83,Round_84,Round_85,Round_86,Round_87,Round_88,Round_89,Round_90,Round_91,Round_92,Round_93,Round_94,Round_95,Round_96,Round_97,Round_98,Round_99,Round_100,Round_101,Round_102,Round_103,Round_104,Round_105,Round_106,Round_107,Round_108,Round_109,Round_110,Round_111,Round_112,Round_113,Round_114,Round_115,Round_116,Round_117,Round_118,Round_119,Round_120,Round_121,Round_122,Round_123,Round_124,Round_125,Round_126,Round_127,Round_128,Round_129,Round_130,Round_131,Round_132,Round_133,Round_134,Round_135,Round_136,Round_137,Round_138,Round_139,Round_140,Round_141,Round_142,Round_143,Round_144,Round_145,Round_146,Round_147,Round_148,Round_149,Round_150,Round_151,Round_152,Round_153,Round_154,Round_155,Round_156,Round_157,Round_158,Round_159,Round_160
0,20953.236328125,21768.69140625,16945.138671875,23707.396484375,30808.13671875,25064.75390625,26108.626953125,30388.0625,24906.89453125,25861.90625,30978.2109375,27167.76953125,34471.4375,32583.453125,31099.359375,40473.796875,39854.3125,35518.59765625,40864.40234375,40361.5625,47510.72265625,49393.90234375,44416.7890625,46085.28515625,47842.17578125,45304.91796875,50029.921875,52086.7578125,44948.43359375,64408.79296875,55505.23828125,48940.32421875,53744.8828125,48870.27734375,60174.4921875,57897.3203125,57373.05859375,56764.55859375,67834.59375,58838.68359375,58095.05859375,60681.640625,63106.36328125,62655.359375,65385.40234375,74207.640625,70743.7265625,68467.2421875,73822.453125,63279.24609375,64853.5546875,67952.3515625,67129.3828125,72621.21875,69207.46875,74746.875,74755.375,76813.8359375,62922.44921875,67025.2890625,65902.6953125,67613.734375,86386.375,82684.9453125,85094.484375,72629.484375,101160.9140625,75481.4140625,79444.09375,80829.7578125,77613.5859375,75755.2578125,71086.796875,75055.1015625,84258.4453125,68634.0625,74235.1328125,92240.078125,67357.609375,65478.671875,63456.4296875,99697.2421875,78373.625,69001.5234375,74800.828125,71534.625,66848.7109375,66693.90625,86794.7109375,76669.4921875,72354.109375,61545.703125,66549.796875,65844.21875,63658.55078125,75515.9921875,73236.65625,68525.3984375,64723.32421875,72920.53125,61470.34375,65983.046875,59506.53125,57116.58203125,52423.4609375,58403.59765625,56033.3046875,70532.671875,82576.03125,67266.28125,57599.5703125,72449.0078125,56075.6328125,62396.92578125,68826.4375,60580.296875,56026.5390625,93957.734375,59205.94921875,84755.2578125,92032.1015625,84097.0,101947.2421875,66438.7265625,65251.09765625,70067.734375,65685.3125,65669.6171875,65840.46875,71797.171875,62782.26953125,64867.65234375,67509.078125,67051.9921875,71637.0703125,73910.7734375,81753.125,84007.15625,64306.84765625,89753.9375,92564.859375,67026.1484375,100419.96875,71777.3828125,88638.0,61079.265625,71457.8359375,65678.8359375,69705.1796875,76165.8515625,91936.234375,81220.984375,82295.921875,65422.80078125,87097.46875,67794.4765625,70429.5546875,121035.6171875,71877.3671875,69855.3671875,86729.0859375
1,10858.5771484375,13603.501953125,15671.341796875,16923.1484375,18932.724609375,14011.05078125,18510.09375,17738.958984375,20602.71484375,18100.6171875,18775.755859375,21277.4453125,18221.7890625,22009.455078125,19001.134765625,19961.06640625,21967.712890625,21543.25,27455.005859375,22888.302734375,26339.64453125,28972.94921875,25930.333984375,26829.7265625,28400.37109375,31900.626953125,28738.61328125,26991.775390625,31165.150390625,31476.775390625,29480.51171875,28473.232421875,27625.068359375,32377.0703125,29084.380859375,37345.546875,30005.97265625,34165.55078125,30442.693359375,27774.958984375,30783.576171875,39330.26171875,34691.453125,38568.0,33793.73046875,35292.1328125,37255.6953125,34219.87109375,40474.62890625,42420.43359375,37915.9375,42722.65625,44686.7421875,40539.24609375,43226.7578125,38370.0546875,45760.36328125,40680.390625,40040.48828125,37470.1640625,40466.54296875,40535.86328125,45901.45703125,36729.5234375,41562.05078125,47379.52734375,41747.34765625,37609.76171875,40062.96875,47077.984375,50906.09375,49371.23828125,51799.3203125,41273.921875,52526.73046875,45337.53125,44216.171875,42046.30859375,49455.40234375,47940.84765625,56685.21875,45280.8828125,44643.375,46142.3125,44442.17578125,43734.33203125,62148.703125,54111.33203125,52030.16796875,71194.7890625,48868.6640625,47583.07421875,52629.26171875,43491.43359375,52413.96875,52089.42578125,47527.50390625,53526.5859375,54366.79296875,60903.05859375,45236.41796875,65357.953125,48107.3515625,67658.5390625,52156.0703125,47093.09765625,56804.53125,47194.375,47187.63671875,51918.29296875,62149.30859375,68490.0390625,47714.07421875,49600.0078125,49489.5,50148.59765625,49660.83203125,52786.28125,45573.015625,55465.78515625,61411.375,61671.96484375,48478.83984375,55197.01171875,52870.94140625,60530.47265625,49818.51953125,57889.91015625,57162.68359375,67963.734375,57557.64453125,58595.78515625,58010.58203125,54284.50390625,56903.0234375,55226.14453125,62279.8359375,57536.953125,58670.25,84606.8359375,57312.21875,66633.21875,60219.1484375,70494.4609375,77207.84375,54148.4375,75305.3203125,58588.80078125,59997.28515625,59966.40625,63482.27734375,71257.4453125,71292.625,61661.1171875,76819.265625,82641.2109375,64623.09765625,70184.9609375,79220.6015625,110772.5625,64856.0078125
2,21014.58203125,19631.6875,19325.755859375,22657.52734375,22336.279296875,22390.4296875,22275.728515625,31098.974609375,26684.447265625,39479.65234375,32667.203125,27512.03515625,43406.05078125,30231.34765625,31300.515625,35287.81640625,32814.48828125,34702.2734375,60600.984375,48390.6484375,35811.45703125,45833.3125,43600.80859375,44770.94140625,46475.43359375,50408.1796875,47344.2421875,50242.05859375,50740.58984375,53231.36328125,51899.15625,43185.56640625,55196.41796875,67757.8671875,59593.515625,54693.69140625,62391.8828125,53843.65625,65543.515625,61544.8984375,64326.83203125,60149.1171875,59896.58203125,67575.0625,71311.6171875,63056.875,63911.21875,63818.203125,67351.3984375,80974.328125,66648.171875,81470.578125,64967.51171875,64872.4140625,62387.51953125,74617.015625,78366.7421875,68043.375,67498.1875,59052.5546875,70307.34375,72752.9140625,83593.078125,71502.046875,68791.1953125,89361.5625,83301.359375,62071.83984375,71551.1875,75822.203125,68947.40625,78255.0625,75389.171875,73523.1015625,71062.5625,66374.6015625,66359.3671875,66141.125,88032.5625,70483.5234375,65169.55078125,77563.21875,74769.6640625,64053.94140625,67988.671875,90832.359375,63917.2890625,72396.2421875,65363.19140625,79295.9453125,64083.9921875,69425.78125,69171.5078125,77070.0078125,61964.3203125,60689.87109375,58943.25,56933.984375,58754.7734375,56755.08203125,62186.49609375,62449.54296875,75296.4921875,61746.46875,54713.09765625,73705.0546875,54820.734375,62021.0,59959.8359375,57815.75,67011.3671875,71967.1328125,70242.5546875,51602.921875,66908.3671875,61155.76953125,120133.6953125,52855.8203125,55188.34375,76018.328125,110315.7890625,69093.75,68411.15625,76222.1484375,74862.1171875,62387.4453125,59050.03125,67031.125,56301.9296875,89150.359375,65874.2890625,88289.1875,66880.3828125,51631.96484375,58134.30859375,63947.7734375,64660.19921875,78038.234375,70924.4453125,56405.421875,76556.7578125,58380.30859375,88021.3046875,94352.7109375,61600.4140625,98078.2421875,65841.2734375,66122.0234375,85101.859375,63484.74609375,71266.296875,63021.265625,80433.5234375,68069.6875,61805.0703125,68665.171875,65378.046875,71318.7265625,95190.65625,80793.4609375,77048.5078125
3,19459.482421875,20480.58984375,20678.888671875,23479.71875,31618.7265625,33066.76953125,26367.748046875,25757.658203125,28533.537109375,30558.181640625,31953.4140625,30495.52734375,35092.9296875,37233.140625,38293.9453125,42074.0078125,43641.53515625,38424.73046875,39350.74609375,45448.6875,52051.05859375,45149.56640625,49459.4609375,45451.4140625,48891.1328125,60907.05859375,52074.13671875,57487.1484375,57124.88671875,53802.20703125,60501.16015625,65643.6015625,58970.66796875,54033.08203125,63263.42578125,62164.0859375,63150.62890625,75801.203125,71966.171875,63567.30078125,72693.25,61379.2265625,57904.65625,67833.3046875,61775.8359375,67445.796875,70138.2109375,67460.140625,78308.09375,66227.0859375,73405.859375,82243.6171875,63276.83203125,69250.1328125,71597.1953125,75219.5859375,62702.03125,73492.921875,70420.0546875,76311.703125,77989.03125,68981.5078125,65775.0,71636.25,62610.9296875,73101.1875,67147.3515625,80133.5859375,70961.7578125,60157.33203125,63143.76171875,66630.4375,65689.453125,86311.71875,72039.7265625,72832.7109375,57208.5625,72172.6171875,75907.7578125,66514.0703125,68030.53125,77206.2890625,70910.9140625,73795.2890625,58366.41796875,104419.4453125,69569.2734375,59580.2734375,76730.734375,77951.3359375,53355.890625,66572.65625,58380.54296875,64888.71484375,56647.10546875,65618.6640625,55905.2265625,61752.109375,58190.01171875,57687.61328125,59273.50390625,67774.8984375,62492.37890625,62937.5390625,56422.67578125,53415.2578125,54345.45703125,66239.703125,59397.1875,57178.1484375,71512.6171875,57432.12890625,72274.8359375,64155.203125,81015.1015625,64165.0390625,54780.58984375,79501.4140625,124610.0,74369.8203125,79989.34375,87978.84375,64859.86328125,64273.46875,87652.78125,60260.0,74437.7890625,61178.25390625,67172.46875,57806.875,63779.91015625,57902.921875,75070.4375,76867.6015625,54530.33984375,60198.28515625,58933.6875,61665.38671875,61517.18359375,59438.640625,67264.125,63288.8046875,77988.015625,66858.3515625,78907.296875,54208.3359375,70527.1484375,170647.390625,75439.5703125,58657.69140625,63778.59765625,60174.4453125,66174.828125,81317.734375,79180.15625,69579.1640625,67472.046875,72568.9140625,75685.765625,71082.140625,73348.6328125
4,25175.962890625,20591.44921875,16537.333984375,20429.23046875,23337.6875,21302.7578125,28143.2265625,29378.0234375,24085.853515625,27090.001953125,31712.20703125,32007.42578125,43064.29296875,30410.9140625,36054.90234375,46318.984375,34782.97265625,42482.4921875,36331.77734375,37797.78125,44817.8515625,47497.3828125,47151.75,65847.203125,56673.76953125,53379.421875,48661.1171875,93883.625,50864.02734375,56072.8359375,47560.734375,53172.08984375,51363.58984375,56876.72265625,50544.08203125,52704.86328125,53562.60546875,60849.65625,60157.33203125,63328.49609375,61296.9921875,68245.3359375,66299.1875,67340.328125,61794.6484375,61066.35546875,70522.578125,68582.8125,63404.65234375,67989.6875,69315.65625,76143.875,87086.4765625,75426.171875,71622.1796875,64340.62109375,67042.0078125,65903.3828125,77000.359375,72627.71875,63943.234375,77865.0390625,72941.4140625,69908.9765625,70498.671875,74605.78125,74626.1484375,73664.265625,71370.875,67410.8359375,80126.78125,67907.4609375,70522.328125,64389.48046875,75395.1953125,79059.46875,85013.4609375,71631.3515625,69355.796875,82235.6171875,71560.0703125,82712.6796875,59819.57421875,75369.5625,63825.12109375,62323.1953125,79834.5078125,67353.1640625,79456.390625,75942.1328125,68673.109375,60812.5625,66913.359375,94326.5703125,71221.1328125,62404.54296875,83446.625,68461.3984375,107024.8828125,66065.75,63962.35546875,63836.45703125,64553.48046875,58439.58984375,77117.6171875,76622.1640625,70471.6484375,76487.0546875,60675.25390625,56617.703125,69341.6015625,68164.5390625,68567.96875,52233.9921875,60184.51171875,66398.3203125,57416.27734375,70843.6015625,65139.40625,97982.9296875,89236.765625,78380.6328125,74745.609375,62807.78515625,60660.28125,97236.875,62002.84375,58456.75390625,60137.87890625,67134.3125,66485.59375,70583.4453125,77624.5234375,71227.390625,71591.765625,57701.58203125,93340.4453125,56141.01953125,80296.46875,89883.109375,79884.6484375,91387.8984375,82254.265625,74644.53125,69861.953125,77726.7578125,74172.171875,75193.5390625,69026.0234375,70088.8828125,78721.0625,98763.0859375,74102.75,70387.8203125,98694.46875,88030.3359375,73122.3359375,80299.1328125,91896.7578125,96492.7578125,65427.51953125
5,17808.541015625,17444.1796875,31655.68359375,20607.529296875,23398.39453125,27170.375,24903.9375,38007.50390625,33675.6484375,28213.15625,27121.193359375,70675.1328125,34761.67578125,34941.3984375,37524.51953125,43082.23828125,37716.6015625,39119.4296875,39553.7265625,45326.421875,50134.5390625,39645.10546875,61672.75390625,43235.9140625,51885.61328125,50504.62109375,51518.24609375,47216.109375,58927.125,46891.71875,54787.1015625,54408.46875,56525.98046875,58749.09375,55246.31640625,56217.94140625,68371.7421875,54715.62109375,65895.6796875,58138.51171875,62000.01171875,63290.56640625,64562.37109375,65184.23828125,70743.9296875,69432.484375,71799.09375,68979.9921875,70037.1953125,71438.578125,72348.2109375,74450.8828125,71925.0625,76016.5703125,76412.65625,76552.140625,73643.109375,83549.9765625,70795.9921875,86597.515625,82028.8046875,88534.34375,80593.671875,76037.2109375,87413.421875,84295.578125,98978.453125,88281.625,79979.6953125,88088.109375,89734.609375,84755.3359375,81983.1015625,86548.2421875,84519.421875,73430.6640625,67950.0,75037.4609375,69736.6875,74566.8515625,82170.7421875,85834.6484375,75259.8515625,101362.0390625,102072.8515625,63051.6484375,63224.64453125,65393.375,70843.5078125,68894.734375,74684.4765625,72962.8203125,79258.6171875,74465.8203125,71197.984375,89374.296875,81226.328125,78831.3203125,75019.203125,72138.625,68048.203125,63177.13671875,73802.25,74636.4296875,74708.75,60403.7421875,72423.609375,79337.40625,73037.46875,68558.4296875,75808.6875,59566.9609375,83038.9609375,72396.203125,146947.0625,58482.4375,127097.2109375,89601.8359375,60771.0625,82113.5546875,82679.3125,69789.21875,80086.984375,67623.7265625,64623.765625,76628.6875,76483.1171875,73051.8984375,78190.5078125,74933.640625,71265.65625,68001.3984375,66292.640625,76576.9296875,84681.609375,65201.05859375,59090.87109375,78835.8828125,77928.796875,74148.8125,70084.4453125,88655.0625,76328.8671875,77245.234375,89177.5859375,79492.296875,88125.2421875,97523.6875,96022.9765625,75841.3828125,60692.64453125,71617.515625,76811.53125,77716.875,81127.8984375,79412.140625,82085.8671875,81816.953125,74674.3046875,79895.078125,82687.859375
6,18790.041015625,16617.29296875,18278.828125,22102.927734375,21051.130859375,23801.08984375,24171.03515625,28140.37109375,27206.189453125,28743.892578125,32315.439453125,31280.603515625,30481.630859375,38875.9609375,34160.75,28925.52734375,36677.86328125,38210.6171875,43385.0390625,39726.97265625,35811.41015625,41255.13671875,40085.11328125,53000.84765625,45358.22265625,48642.33984375,48500.83203125,51132.875,43673.9453125,53046.203125,52534.609375,48285.33203125,54177.7265625,63233.25,57910.96484375,51550.03515625,60688.57421875,57654.21484375,57833.296875,73895.28125,60935.0703125,68749.09375,73484.5390625,73538.5546875,69131.578125,68312.265625,64481.66015625,65293.75,78143.3984375,72948.046875,68430.53125,75184.3828125,75405.765625,71420.328125,77209.859375,78987.5703125,74479.8671875,70386.5234375,77191.1015625,79078.7890625,70402.21875,81297.9375,79707.09375,78125.890625,77178.9140625,85231.8125,88249.796875,91751.4765625,83284.4375,68051.25,79661.0078125,71835.3828125,70253.4453125,77864.0234375,66648.109375,83906.9453125,69954.390625,90723.421875,68094.6875,71222.234375,84018.71875,68244.6875,65962.0390625,71225.6484375,107745.6484375,82567.1015625,79725.6953125,64369.50390625,56884.1796875,79041.4375,74842.1875,67054.5546875,105380.6796875,66009.6640625,71769.4296875,74379.734375,95636.859375,83997.0703125,87176.328125,62620.80078125,72008.734375,67576.796875,70128.328125,84856.296875,67069.8046875,62537.21484375,71623.21875,57223.7890625,98561.4765625,120026.3203125,58001.98828125,69613.0546875,74177.28125,79143.5625,109441.5390625,68972.5859375,67472.640625,59303.921875,67554.09375,65032.4296875,88228.7578125,81926.2421875,80458.3515625,67448.1171875,67674.0,84156.8203125,71603.84375,69851.984375,85368.7265625,111429.9921875,60422.7578125,113624.1875,64887.57421875,89633.296875,59903.46875,65578.453125,85453.6171875,82356.5390625,103301.9921875,65785.9375,81904.46875,87686.171875,87744.203125,93064.84375,62237.1171875,88635.9296875,80244.5859375,80159.6640625,79438.5703125,72106.5859375,95156.6328125,64713.7421875,73028.1875,66875.40625,86092.7578125,82836.9609375,85193.7265625,81694.3046875,86432.328125,72199.09375,79972.890625
7,14457.4189453125,14212.1796875,18076.859375,20172.38671875,22356.279296875,23604.720703125,23344.513671875,25389.650390625,27167.65625,29029.3515625,30818.26171875,33464.58203125,31464.73828125,32848.25,37885.0703125,31736.193359375,33212.1015625,35451.3671875,35503.28125,47663.0546875,36355.2890625,39576.7734375,39112.01953125,45652.71875,50555.265625,39226.3359375,40534.796875,38583.41015625,66266.8671875,50841.74609375,45523.66796875,49372.63671875,49551.265625,62659.75,49319.9921875,44365.9375,64147.44921875,50650.2421875,60630.25,57730.35546875,53685.0625,56263.0859375,58006.52734375,67866.640625,57954.66015625,61798.03515625,64188.1796875,59580.66015625,65714.3359375,72097.0078125,64300.859375,65201.82421875,76084.875,84290.546875,68597.7265625,66902.3359375,69256.0390625,72933.4765625,81410.5859375,75020.84375,74548.9375,68318.890625,71065.8125,80131.8046875,76154.6796875,68271.6796875,87719.328125,72272.703125,64334.5078125,72988.8828125,91872.765625,67200.5234375,73996.90625,79437.8125,68034.78125,82012.515625,77680.859375,74040.421875,69199.71875,57814.07421875,61886.05859375,57936.64453125,70606.5546875,63950.3359375,91266.671875,75435.484375,66128.3984375,68392.4296875,69383.8359375,62067.10546875,63483.56640625,88468.203125,61538.59375,70736.3515625,64269.3515625,63896.859375,77878.3984375,69724.5,83131.296875,87574.875,62542.87109375,63462.88671875,81472.4765625,54346.4765625,82687.8125,63442.546875,72770.03125,48889.25,69532.40625,60280.39453125,62376.24609375,75345.2890625,76085.3046875,80836.59375,79233.1484375,56425.8671875,78338.2734375,87670.84375,68159.53125,75263.875,75305.125,66921.0546875,63177.85546875,75201.8984375,59593.796875,73311.2578125,62301.28515625,69551.2109375,76550.8828125,63118.9765625,66575.1328125,71363.609375,61029.609375,59219.7421875,61416.359375,71029.5,74776.2890625,65800.640625,85670.1796875,97076.8046875,87877.40625,81410.1328125,80892.1015625,78881.8359375,67589.53125,91466.2421875,82640.328125,66225.59375,61151.53125,69634.03125,77561.765625,65985.6328125,76478.5546875,73706.46875,57917.76953125,77574.7578125,73288.53125,71908.65625,78761.7109375,78393.4765625,83067.5859375
8,17523.013671875,21025.28125,21998.35546875,22082.1796875,26555.369140625,24898.865234375,42086.90234375,23794.685546875,29669.37890625,27465.876953125,32616.99609375,27452.548828125,36604.96875,32517.94140625,34541.6328125,33059.796875,39167.71484375,35154.1875,47548.1015625,37610.94921875,44186.08984375,43948.18359375,41901.91015625,46979.59375,45222.09375,49823.1953125,49189.70703125,55596.234375,44661.671875,57806.72265625,48192.89453125,54777.0546875,52221.0859375,51436.62109375,61089.0234375,56619.390625,64005.33984375,55769.44140625,68356.15625,58623.796875,66764.9375,58054.0078125,62315.046875,63952.359375,71538.9296875,67167.0390625,88681.96875,67733.8203125,68843.28125,70932.1796875,71296.8828125,66112.1015625,69758.03125,72384.5234375,80268.1015625,74987.8671875,86432.5703125,72953.734375,79576.359375,75282.140625,72710.234375,68358.1953125,75626.8203125,84582.390625,76960.640625,79574.7265625,93085.625,79747.1484375,69715.859375,79968.2578125,75609.28125,78119.4140625,73193.0234375,91727.8515625,75887.375,80514.34375,78747.15625,66992.796875,68846.6015625,68341.0546875,79794.203125,65392.79296875,67918.5234375,75559.390625,71659.5546875,89189.984375,59686.26953125,72196.109375,74074.84375,68590.7734375,85359.15625,75339.5703125,80340.3046875,78448.6875,63470.27734375,65190.09765625,78428.6953125,65656.53125,93969.25,66822.203125,96432.71875,125644.0390625,78986.359375,79763.734375,99487.65625,157846.03125,71709.0234375,59000.1953125,66536.8828125,91796.890625,64944.640625,66892.4140625,53562.3046875,68716.8828125,79225.890625,65894.75,58816.8984375,66851.1171875,60335.33984375,111873.515625,117603.328125,100126.1484375,84658.4765625,108569.0,61140.359375,68173.2265625,87156.65625,66350.8046875,96880.4765625,65143.78515625,69129.1015625,79091.7421875,82462.84375,68539.7421875,65271.734375,66963.21875,70998.390625,67391.609375,65108.98828125,80557.2734375,99572.875,81036.9609375,94884.109375,72531.8046875,68533.53125,73008.625,71063.90625,95083.6171875,102905.421875,73752.453125,77264.7109375,88551.0234375,81687.84375,123105.8125,73620.78125,78083.578125,75797.6640625,77046.1171875,79151.3671875,86628.09375,82420.8359375
9,23125.279296875,22004.251953125,22245.771484375,21288.890625,34089.9375,21092.837890625,30606.072265625,27177.37109375,31374.35546875,32308.244140625,38174.37109375,36960.83203125,39555.51171875,35569.75390625,45763.08203125,32724.044921875,62213.7578125,46918.85546875,38530.8515625,40298.03515625,52650.30078125,45834.3671875,44317.6953125,48114.5234375,44239.61328125,63349.65234375,54677.0703125,54864.12109375,48818.0078125,47438.0859375,49217.34375,67293.7109375,60251.23828125,54003.515625,56228.52734375,50679.296875,51730.27734375,61494.1015625,59432.34765625,55089.84375,62994.9375,60016.6640625,58128.0234375,61907.09375,58982.59765625,58277.7578125,61211.9609375,59735.80078125,64757.51953125,70865.6484375,64523.734375,64200.51171875,78195.2578125,57498.9140625,77982.578125,65255.7890625,74228.9296875,59433.421875,62826.0390625,55675.4765625,60220.02734375,72406.859375,64989.640625,72887.2578125,79828.4609375,79880.8125,68358.3671875,67689.5390625,71489.234375,63013.48046875,68109.3203125,71157.5390625,80297.5078125,71122.7578125,57724.03515625,77169.59375,63333.4765625,69751.046875,67835.109375,62377.55859375,71742.3046875,64052.90625,55711.6015625,62875.3671875,69842.71875,71684.640625,92067.40625,60569.02734375,57544.015625,68474.7890625,59439.78515625,71266.2890625,83154.0078125,71630.1171875,50087.46484375,52753.30078125,53667.7265625,64387.6328125,65507.07421875,54186.7734375,55379.4765625,53127.13671875,62037.25390625,66346.125,74847.1796875,63434.53515625,73096.4765625,56672.2890625,56197.90234375,58622.75390625,63353.7890625,59024.4765625,58556.6328125,81751.765625,61414.03125,65104.90234375,58054.7421875,67618.8046875,63539.9296875,69854.484375,81125.0390625,67819.5625,64419.1875,57890.0234375,70309.65625,77483.1328125,90150.6953125,72989.328125,69499.359375,65323.4140625,80938.265625,62394.80859375,60295.26171875,61416.2265625,70641.7578125,58043.83984375,78234.0234375,63513.04296875,55586.01953125,52318.23046875,76637.390625,67426.25,75979.59375,59575.8046875,77119.2265625,69070.4921875,70149.5546875,65576.5625,77126.6953125,80043.234375,70784.3359375,70654.3828125,70257.9921875,117515.1640625,66709.5625,64266.03515625,84151.2109375,80420.9453125,66593.734375,73289.203125,68486.5234375
